Date,Category,Quantity
2021-03-28,Boots,3.0
2021-03-29,Boots,0.0
2021-03-30,Boots,0.0
2021-03-31,Boots,0.0
2021-04-01,Boots,0.0
2021-04-02,Boots,1.0
2021-04-03,Boots,1.0
2021-04-04,Boots,0.0
2021-04-05,Boots,0.0
2021-04-06,Boots,0.0
2021-04-07,Boots,0.0
2021-04-08,Boots,1.0
2021-04-09,Boots,1.0
2021-04-10,Boots,0.0
2021-04-11,Boots,0.0
2021-04-12,Boots,2.0
2021-04-13,Boots,1.0
2021-04-14,Boots,0.0
2021-04-15,Boots,3.0
2021-04-16,Boots,0.0
2021-04-17,Boots,2.0
2021-04-18,Boots,1.0
2021-04-19,Boots,0.0
2021-04-20,Boots,0.0
2021-04-21,Boots,0.0
2021-04-22,Boots,0.0
2021-04-23,Boots,0.0
2021-04-24,Boots,1.0
2021-04-25,Boots,0.0
2021-04-26,Boots,0.0
2021-04-27,Boots,0.0
2021-04-28,Boots,0.0
2021-04-29,Boots,0.0
2021-04-30,Boots,0.0
2021-05-01,Boots,0.0
2021-05-02,Boots,0.0
2021-05-03,Boots,0.0
2021-05-04,Boots,0.0
2021-05-05,Boots,0.0
2021-05-06,Boots,0.0
2021-05-07,Boots,0.0
2021-05-08,Boots,0.0
2021-05-09,Boots,0.0
2021-05-10,Boots,0.0
2021-05-11,Boots,0.0
2021-05-12,Boots,0.0
2021-05-13,Boots,0.0
2021-05-14,Boots,0.0
2021-05-15,Boots,2.0
2021-05-16,Boots,2.0
2021-05-17,Boots,0.0
2021-05-18,Boots,0.0
2021-05-19,Boots,0.0
2021-05-20,Boots,0.0
2021-05-21,Boots,1.0
2021-05-22,Boots,0.0
2021-05-23,Boots,3.0
2021-05-24,Boots,0.0
2021-05-25,Boots,1.0
2021-05-26,Boots,0.0
2021-05-27,Boots,1.0
2021-05-28,Boots,1.0
2021-05-29,Boots,1.0
2021-05-30,Boots,0.0
2021-05-31,Boots,2.0
2021-06-01,Boots,2.0
2021-06-02,Boots,0.0
2021-06-03,Boots,1.0
2021-06-04,Boots,1.0
2021-06-05,Boots,0.0
2021-06-06,Boots,0.0
2021-06-07,Boots,0.0
2021-06-08,Boots,0.0
2021-06-09,Boots,1.0
2021-06-10,Boots,2.0
2021-06-11,Boots,3.0
2021-06-12,Boots,0.0
2021-06-13,Boots,0.0
2021-06-14,Boots,1.0
2021-06-15,Boots,0.0
2021-06-16,Boots,0.0
2021-06-17,Boots,0.0
2021-06-18,Boots,2.0
2021-06-19,Boots,0.0
2021-06-20,Boots,0.0
2021-06-21,Boots,0.0
2021-06-22,Boots,1.0
2021-06-23,Boots,0.0
2021-06-24,Boots,1.0
2021-06-25,Boots,1.0
2021-06-26,Boots,0.0
2021-06-27,Boots,0.0
2021-06-28,Boots,0.0
2021-06-29,Boots,0.0
2021-06-30,Boots,0.0
2021-07-01,Boots,0.0
2021-07-02,Boots,1.0
2021-07-03,Boots,0.0
2021-07-04,Boots,1.0
2021-07-05,Boots,0.0
2021-07-06,Boots,6.0
2021-07-07,Boots,1.0
2021-07-08,Boots,1.0
2021-07-09,Boots,0.0
2021-07-10,Boots,0.0
2021-07-11,Boots,2.0
2021-07-12,Boots,0.0
2021-07-13,Boots,0.0
2021-07-14,Boots,1.0
2021-07-15,Boots,1.0
2021-07-16,Boots,1.0
2021-07-17,Boots,0.0
2021-07-18,Boots,1.0
2021-07-19,Boots,0.0
2021-07-20,Boots,1.0
2021-07-21,Boots,1.0
2021-07-22,Boots,2.0
2021-07-23,Boots,3.0
2021-07-24,Boots,0.0
2021-07-25,Boots,0.0
2021-07-26,Boots,0.0
2021-07-27,Boots,0.0
2021-07-28,Boots,2.0
2021-07-29,Boots,0.0
2021-07-30,Boots,1.0
2021-07-31,Boots,0.0
2021-08-01,Boots,0.0
2021-08-02,Boots,0.0
2021-08-03,Boots,2.0
2021-08-04,Boots,0.0
2021-08-05,Boots,0.0
2021-08-06,Boots,0.0
2021-08-07,Boots,2.0
2021-08-08,Boots,1.0
2021-08-09,Boots,3.0
2021-08-10,Boots,0.0
2021-08-11,Boots,1.0
2021-08-12,Boots,0.0
2021-08-13,Boots,0.0
2021-08-14,Boots,1.0
2021-08-15,Boots,0.0
2021-08-16,Boots,0.0
2021-08-17,Boots,0.0
2021-08-18,Boots,1.0
2021-08-19,Boots,0.0
2021-08-20,Boots,2.0
2021-08-21,Boots,0.0
2021-08-22,Boots,1.0
2021-08-23,Boots,0.0
2021-08-24,Boots,1.0
2021-08-25,Boots,0.0
2021-08-26,Boots,0.0
2021-08-27,Boots,0.0
2021-08-28,Boots,2.0
2021-08-29,Boots,2.0
2021-08-30,Boots,1.0
2021-08-31,Boots,0.0
2021-09-01,Boots,1.0
2021-09-02,Boots,3.0
2021-09-03,Boots,0.0
2021-09-04,Boots,1.0
2021-09-05,Boots,1.0
2021-09-06,Boots,0.0
2021-09-07,Boots,1.0
2021-09-08,Boots,1.0
2021-09-09,Boots,3.0
2021-09-10,Boots,0.0
2021-09-11,Boots,0.0
2021-09-12,Boots,1.0
2021-09-13,Boots,1.0
2021-09-14,Boots,0.0
2021-09-15,Boots,0.0
2021-09-16,Boots,0.0
2021-09-17,Boots,0.0
2021-09-18,Boots,1.0
2021-09-19,Boots,1.0
2021-09-20,Boots,2.0
2021-09-21,Boots,0.0
2021-09-22,Boots,2.0
2021-09-23,Boots,0.0
2021-09-24,Boots,0.0
2021-09-25,Boots,0.0
2021-09-26,Boots,3.0
2021-09-27,Boots,2.0
2021-09-28,Boots,2.0
2021-09-29,Boots,0.0
2021-09-30,Boots,0.0
2021-10-01,Boots,2.0
2021-10-02,Boots,1.0
2021-10-03,Boots,0.0
2021-10-04,Boots,0.0
2021-10-05,Boots,1.0
2021-10-06,Boots,0.0
2021-10-07,Boots,2.0
2021-10-08,Boots,0.0
2021-10-09,Boots,1.0
2021-10-10,Boots,4.0
2021-10-11,Boots,0.0
2021-10-12,Boots,1.0
2021-10-13,Boots,1.0
2021-10-14,Boots,0.0
2021-10-15,Boots,0.0
2021-10-16,Boots,1.0
2021-10-17,Boots,0.0
2021-10-18,Boots,0.0
2021-10-19,Boots,2.0
2021-10-20,Boots,0.0
2021-10-21,Boots,1.0
2021-10-22,Boots,1.0
2021-10-23,Boots,0.0
2021-10-24,Boots,2.0
2021-10-25,Boots,1.0
2021-10-26,Boots,0.0
2021-10-27,Boots,1.0
2021-10-28,Boots,0.0
2021-10-29,Boots,0.0
2021-10-30,Boots,0.0
2021-10-31,Boots,0.0
2021-11-01,Boots,2.0
2021-11-02,Boots,0.0
2021-11-03,Boots,2.0
2021-11-04,Boots,0.0
2021-11-05,Boots,0.0
2021-11-06,Boots,2.0
2021-11-07,Boots,1.0
2021-11-08,Boots,1.0
2021-11-09,Boots,1.0
2021-11-10,Boots,2.0
2021-11-11,Boots,0.0
2021-11-12,Boots,0.0
2021-11-13,Boots,0.0
2021-11-14,Boots,0.0
2021-11-15,Boots,1.0
2021-11-16,Boots,1.0
2021-11-17,Boots,2.0
2021-11-18,Boots,2.0
2021-11-19,Boots,1.0
2021-11-20,Boots,1.0
2021-11-21,Boots,2.0
2021-11-22,Boots,1.0
2021-11-23,Boots,0.0
2021-11-24,Boots,0.0
2021-11-25,Boots,2.0
2021-11-26,Boots,0.0
2021-11-27,Boots,1.0
2021-11-28,Boots,0.0
2021-11-29,Boots,2.0
2021-11-30,Boots,1.0
2021-12-01,Boots,0.0
2021-12-02,Boots,0.0
2021-12-03,Boots,1.0
2021-12-04,Boots,0.0
2021-12-05,Boots,1.0
2021-12-06,Boots,0.0
2021-12-07,Boots,1.0
2021-12-08,Boots,1.0
2021-12-09,Boots,0.0
2021-12-10,Boots,3.0
2021-12-11,Boots,0.0
2021-12-12,Boots,0.0
2021-12-13,Boots,2.0
2021-12-14,Boots,0.0
2021-12-15,Boots,0.0
2021-12-16,Boots,0.0
2021-12-17,Boots,1.0
2021-12-18,Boots,0.0
2021-12-19,Boots,1.0
2021-12-20,Boots,0.0
2021-12-21,Boots,1.0
2021-12-22,Boots,0.0
2021-12-23,Boots,0.0
2021-12-24,Boots,0.0
2021-12-25,Boots,3.0
2021-12-26,Boots,1.0
2021-12-27,Boots,2.0
2021-12-28,Boots,2.0
2021-12-29,Boots,0.0
2021-12-30,Boots,2.0
2021-12-31,Boots,0.0
2022-01-01,Boots,0.0
2022-01-02,Boots,1.0
2022-01-03,Boots,0.0
2022-01-04,Boots,2.0
2022-01-05,Boots,0.0
2022-01-06,Boots,1.0
2022-01-07,Boots,2.0
2022-01-08,Boots,1.0
2022-01-09,Boots,1.0
2022-01-10,Boots,0.0
2022-01-11,Boots,0.0
2022-01-12,Boots,1.0
2022-01-13,Boots,0.0
2022-01-14,Boots,1.0
2022-01-15,Boots,1.0
2022-01-16,Boots,0.0
2022-01-17,Boots,2.0
2022-01-18,Boots,0.0
2022-01-19,Boots,0.0
2022-01-20,Boots,2.0
2022-01-21,Boots,1.0
2022-01-22,Boots,1.0
2022-01-23,Boots,0.0
2022-01-24,Boots,1.0
2022-01-25,Boots,2.0
2022-01-26,Boots,0.0
2022-01-27,Boots,0.0
2022-01-28,Boots,1.0
2022-01-29,Boots,1.0
2022-01-30,Boots,0.0
2022-01-31,Boots,1.0
2022-02-01,Boots,1.0
2022-02-02,Boots,0.0
2022-02-03,Boots,1.0
2022-02-04,Boots,1.0
2022-02-05,Boots,0.0
2022-02-06,Boots,0.0
2022-02-07,Boots,0.0
2022-02-08,Boots,0.0
2022-02-09,Boots,0.0
2022-02-10,Boots,0.0
2022-02-11,Boots,0.0
2022-02-12,Boots,1.0
2022-02-13,Boots,0.0
2022-02-14,Boots,4.0
2022-02-15,Boots,2.0
2022-02-16,Boots,2.0
2022-02-17,Boots,1.0
2022-02-18,Boots,1.0
2022-02-19,Boots,1.0
2022-02-20,Boots,0.0
2022-02-21,Boots,0.0
2022-02-22,Boots,0.0
2022-02-23,Boots,0.0
2022-02-24,Boots,0.0
2022-02-25,Boots,0.0
2022-02-26,Boots,0.0
2022-02-27,Boots,0.0
2022-02-28,Boots,2.0
2022-03-01,Boots,0.0
2022-03-02,Boots,2.0
2022-03-03,Boots,1.0
2022-03-04,Boots,1.0
2022-03-05,Boots,0.0
2022-03-06,Boots,1.0
2022-03-07,Boots,0.0
2022-03-08,Boots,0.0
2022-03-09,Boots,0.0
2022-03-10,Boots,0.0
2022-03-11,Boots,0.0
2022-03-12,Boots,0.0
2022-03-13,Boots,1.0
2022-03-14,Boots,0.0
2022-03-15,Boots,1.0
2022-03-16,Boots,0.0
2022-03-17,Boots,1.0
2022-03-18,Boots,0.0
2022-03-19,Boots,0.0
2022-03-20,Boots,0.0
2022-03-21,Boots,0.0
2022-03-22,Boots,0.0
2022-03-23,Boots,1.0
2022-03-24,Boots,0.0
2022-03-25,Boots,2.0
2022-03-26,Boots,1.0
2022-03-27,Boots,0.0
2022-03-28,Boots,1.0
2022-03-29,Boots,1.0
2022-03-30,Boots,1.0
2022-03-31,Boots,0.0
2022-04-01,Boots,0.0
2022-04-02,Boots,0.0
2022-04-03,Boots,0.0
2022-04-04,Boots,0.0
2022-04-05,Boots,0.0
2022-04-06,Boots,1.0
2022-04-07,Boots,1.0
